     Time_Now  Buffer_Level 
      2.51773             0
      2.51773             2
      3.35127       1.16646
      3.35127       3.16646
      3.72409       2.79364
      3.72409       4.79364
      4.10505       4.41268
      4.10505       6.41268
      4.39194       6.12578
      4.39194       8.12578
       4.6765       7.84123
       4.6765       9.84123
      4.87352       9.64421
      4.87352       11.6442
      5.06063       11.4571
      5.06063       13.4571
      5.25432       13.2634
      5.25432       15.2634
      5.44389       15.0738
      5.44389       17.0738
      5.63628       16.8814
      5.63628       18.8814
      5.82692       18.6908
      5.82692       20.6908
      6.01361       20.5041
      6.01361       22.5041
      6.12581       22.3919
      6.12581       24.3919
      6.71065       23.8071
      6.71065       25.8071
      7.73584       24.7819
      7.73584       26.7819
      8.98987       25.5279
      8.98987       27.5279
      10.3063       26.2114
      10.3063       28.2114
      11.7967        26.721
      11.7967        28.721
      13.2996       27.2181
      13.2996       29.2181
      15.1543       27.3634
      15.1543       29.3634
      18.0422       26.4756
      18.0422       28.4756
      20.4877         26.03
      20.4877         28.03
      22.8215       25.6962
      22.8215       27.6962
      24.7277       25.7901
      24.7277       27.7901
      26.6263       25.8914
      26.6263       27.8914
       28.167       26.3507
       28.167       28.3507
      29.7106       26.8071
      29.7106       28.8071
      31.1987        27.319
      31.1987        29.319
      32.8464       27.6713
      32.8464       29.6713
      34.2604       28.2573
      34.2604       30.2573
      36.0919       28.4259
      36.0919       30.4259
