     Time_Now  Buffer_Level 
      2.48435             0
      2.48435             2
      3.31095        1.1734
      3.31095        3.1734
      3.68113       2.80322
      3.68113       4.80322
      4.05811       4.42624
      4.05811       6.42624
      4.34328       6.14107
      4.34328       8.14107
      4.62746       7.85689
      4.62746       9.85689
      4.82105        9.6633
      4.82105       11.6633
      5.01037        11.474
      5.01037        13.474
      5.20499       13.2794
      5.20499       15.2794
      5.39387       15.0905
      5.39387       17.0905
      5.58676       16.8976
      5.58676       18.8976
      5.77625       18.7081
      5.77625       20.7081
       5.9686       20.5157
       5.9686       22.5157
      6.07081       22.4135
      6.07081       24.4135
      6.65705       23.8273
      6.65705       25.8273
      7.67802       24.8063
      7.67802       26.8063
      8.92343       25.5609
      8.92343       27.5609
      10.2474        26.237
      10.2474        28.237
      11.7389       26.7454
      11.7389       28.7454
      13.2377       27.2467
      13.2377       29.2467
       15.104       27.3804
       15.104       29.3804
      17.9899       26.4945
      17.9899       28.4945
      20.4323        26.052
      20.4323        28.052
      22.7743         25.71
      22.7743         27.71
      24.6712       25.8132
      24.6712       27.8132
      26.5674        25.917
      26.5674        27.917
       28.104       26.3804
       28.104       28.3804
      29.6541       26.8303
      29.6541       28.8303
       31.142       27.3424
       31.142       29.3424
      32.7864       27.6979
      32.7864       29.6979
      34.1965       28.2878
      34.1965       30.2878
      36.0321       28.4523
      36.0321       30.4523
